url|title|publish_date|authors
https://vnexpress.net/duong-sat-cat-linh-tang-7-8-trieu-usd-chi-phi-tu-van-giam-sat-4355380.html|Đường sắt Cát Linh tăng 7,8 triệu USD chi phí tư vấn giám sát|Chủ nhật, 12/9/2021, 18:57 (GMT+7)|Anh Duy
https://vnexpress.net/duong-sat-cat-linh-tang-7-8-trieu-usd-chi-phi-tu-van-giam-sat-4355380.html#box_comment_vne|Đường sắt Cát Linh tăng 7,8 triệu USD chi phí tư vấn giám sát|Chủ nhật, 12/9/2021, 18:57 (GMT+7)|Anh Duy
https://vnexpress.net/thu-linh-da-chet-cua-al-qaeda-bat-ngo-tai-xuat-4355451.html|Thủ lĩnh 'đã chết' của al-Qaeda bất ngờ tái xuất|Chủ nhật, 12/9/2021, 22:35 (GMT+7)|Vũ Hoàng (Theo AP)
https://vnexpress.net/thu-linh-da-chet-cua-al-qaeda-bat-ngo-tai-xuat-4355451.html#box_comment_vne|Thủ lĩnh 'đã chết' của al-Qaeda bất ngờ tái xuất|Chủ nhật, 12/9/2021, 22:35 (GMT+7)|Vũ Hoàng (Theo AP)
https://vnexpress.net/viet-nam-de-nghi-nhat-ban-tiep-tuc-ho-tro-vaccine-4355419.html|Việt Nam đề nghị Nhật Bản tiếp tục hỗ trợ vaccine|Chủ nhật, 12/9/2021, 21:07 (GMT+7)|Hoàng Thùy
https://vnexpress.net/viet-nam-de-nghi-nhat-ban-tiep-tuc-ho-tro-vaccine-4355419.html#box_comment_vne|Việt Nam đề nghị Nhật Bản tiếp tục hỗ trợ vaccine|Chủ nhật, 12/9/2021, 21:07 (GMT+7)|Hoàng Thùy
https://vnexpress.net/cuoc-chien-cua-nguoi-tre-4354833.html|Cuộc chiến của người trẻ|Thứ bảy, 11/9/2021, 12:01 (GMT+7)|Quan Thế Dân
https://vnexpress.net/cuoc-chien-cua-nguoi-tre-4354833.html#box_comment_vne|Cuộc chiến của người trẻ|Thứ bảy, 11/9/2021, 12:01 (GMT+7)|Quan Thế Dân
https://vnexpress.net/covid-19-ngay-12-9-4355385.html|Thêm 12.017 ca Covid-19, cả nước vượt 600.000 ca|Chủ nhật, 12/9/2021, 19:15 (GMT+7)|Lê Nga
https://vnexpress.net/covid-19-ngay-12-9-4355385.html#box_comment_vne|Thêm 12.017 ca Covid-19, cả nước vượt 600.000 ca|Chủ nhật, 12/9/2021, 19:15 (GMT+7)|Lê Nga
https://vnexpress.net/nhat-phat-hien-tau-ngam-nghi-cua-trung-quoc-gan-lanh-hai-4355427.html|Nhật phát hiện tàu ngầm nghi của Trung Quốc gần lãnh hải|Chủ nhật, 12/9/2021, 21:18 (GMT+7)|Vũ Hoàng (Theo Reuters)
https://vnexpress.net/nhat-phat-hien-tau-ngam-nghi-cua-trung-quoc-gan-lanh-hai-4355427.html#box_comment_vne|Nhật phát hiện tàu ngầm nghi của Trung Quốc gần lãnh hải|Chủ nhật, 12/9/2021, 21:18 (GMT+7)|Vũ Hoàng (Theo Reuters)
https://vnexpress.net/nghe-si-tran-manh-tuan-vuot-cua-tu-4351398.html|Nghệ sĩ Trần Mạnh Tuấn vượt 'cửa tử'|Chủ nhật, 12/9/2021, 19:23 (GMT+7)|Mai Nhật
https://vnexpress.net/nghe-si-tran-manh-tuan-vuot-cua-tu-4351398.html#box_comment_vne|Nghệ sĩ Trần Mạnh Tuấn vượt 'cửa tử'|Chủ nhật, 12/9/2021, 19:23 (GMT+7)|Mai Nhật
https://vnexpress.net/cuoc-dua-chua-hoi-ket-cua-elon-musk-va-jeff-bezos-4355241.html|Cuộc đua chưa hồi kết của Elon Musk và Jeff Bezos|Chủ nhật, 12/9/2021, 21:17 (GMT+7)|An Khang (Theo The Washington Post)
https://vnexpress.net/cuoc-dua-chua-hoi-ket-cua-elon-musk-va-jeff-bezos-4355241.html#box_comment_vne|Cuộc đua chưa hồi kết của Elon Musk và Jeff Bezos|Chủ nhật, 12/9/2021, 21:17 (GMT+7)|An Khang (Theo The Washington Post)
https://vnexpress.net/my-nhan-thuy-dien-dien-dam-cong-tri-4355453.html|Mỹ nhân Thụy Điển diện đầm Công Trí|Chủ nhật, 12/9/2021, 22:54 (GMT+7)|Ý Ly
https://vnexpress.net/my-nhan-thuy-dien-dien-dam-cong-tri-4355453.html#box_comment_vne|Mỹ nhân Thụy Điển diện đầm Công Trí|Chủ nhật, 12/9/2021, 22:54 (GMT+7)|Ý Ly
https://vnexpress.net/nong-dan-do-ra-dong-cuu-lua-sau-bao-4355431.html|Nông dân đổ ra đồng cứu lúa sau bão|Chủ nhật, 12/9/2021, 21:20 (GMT+7)|Hoàng Táo
